,COPD_RR,COPD_RR_LB,COPD_RR_UB
600,"2.335
",1.956,2.701
500,"2.231
",1.864,2.585
400,"2.114
",1.767,2.447
300,"1.979
",1.653,2.292
200,"1.815
",1.52,2.099
150,"1.714
",1.441,1.976
135,"1.681
",1.415,1.94
120,"1.645
",1.388,1.899
105,"1.606
",1.359,1.854
90,"1.564
",1.328,1.804
75,"1.518
",1.294,1.745
60,"1.466
",1.258,1.68
45,"1.405
",1.217,1.607
30,"1.33
",1.168,1.512
25,"1.3
",1.149,1.473
20,"1.266
",1.126,1.426
15,"1.224
",1.101,1.371
10,"1.17
",1.07,1.296
5,"1.06
",1.0,1.17
0,"1.0
",1.0,1.0
